id,season,source,rank,name,pos,nflTeam
2025-K-jamarr-chase,2025,FantasyPros ADP,1,Ja'Marr Chase,K,WR
2025-K-bijan-robinson,2025,FantasyPros ADP,2,Bijan Robinson,K,RB
2025-K-saquon-barkley,2025,FantasyPros ADP,3,Saquon Barkley,K,RB
2025-K-jahmyr-gibbs,2025,FantasyPros ADP,4,Jahmyr Gibbs,K,RB
2025-K-justin-jefferson,2025,FantasyPros ADP,5,Justin Jefferson,K,WR
2025-K-ceedee-lamb,2025,FantasyPros ADP,6,CeeDee Lamb,K,WR
2025-K-christian-mccaffrey,2025,FantasyPros ADP,7,Christian McCaffrey,K,RB
2025-K-amon-ra-st-brown,2025,FantasyPros ADP,8,Amon-Ra St. Brown,K,WR
2025-K-malik-nabers,2025,FantasyPros ADP,9,Malik Nabers,K,WR
2025-K-derrick-henry,2025,FantasyPros ADP,10,Derrick Henry,K,RB
2025-K-ashton-jeanty,2025,FantasyPros ADP,11,Ashton Jeanty,K,RB
2025-K-puka-nacua,2025,FantasyPros ADP,12,Puka Nacua,K,WR
2025-K-nico-collins,2025,FantasyPros ADP,13,Nico Collins,K,WR
2025-K-devon-achane,2025,FantasyPros ADP,14,De'Von Achane,K,RB
2025-K-brian-thomas-jr,2025,FantasyPros ADP,15,Brian Thomas Jr,K,WR
2025-K-josh-jacobs,2025,FantasyPros ADP,16,Josh Jacobs,K,RB
2025-K-drake-london,2025,FantasyPros ADP,17,Drake London,K,WR
2025-K-brock-bowers,2025,FantasyPros ADP,18,Brock Bowers,K,TE
2025-K-jonathan-taylor,2025,FantasyPros ADP,19,Jonathan Taylor,K,RB
2025-K-aj-brown,2025,FantasyPros ADP,20,A.J. Brown,K,WR
2025-K-josh-allen,2025,FantasyPros ADP,21,Josh Allen,K,QB
2025-K-chase-brown,2025,FantasyPros ADP,22,Chase Brown,K,RB
2025-K-bucky-irving,2025,FantasyPros ADP,23,Bucky Irving,K,RB
2025-K-lamar-jackson,2025,FantasyPros ADP,24,Lamar Jackson,K,QB
2025-K-kyren-williams,2025,FantasyPros ADP,25,Kyren Williams,K,RB
2025-K-ladd-mcconkey,2025,FantasyPros ADP,26,Ladd McConkey,K,WR
2025-K-trey-mcbride,2025,FantasyPros ADP,27,Trey McBride,K,TE
2025-K-james-cook,2025,FantasyPros ADP,28,James Cook,K,RB
2025-K-tee-higgins,2025,FantasyPros ADP,29,Tee Higgins,K,WR
2025-K-jayden-daniels,2025,FantasyPros ADP,30,Jayden Daniels,K,QB
