rank,name,position,team,value,bye,id,updatedAt
1,Jahmyr Gibbs,RB,DET,57,6,2026-RB-jahmyr-gibbs,2026-08-10
81,Brian Thomas Jr.,WR,JAC,4,7,2026-WR-brian-thomas-jr,2026-08-10
161,Jalen Nailor,WR,LV,0,13,2026-WR-jalen-nailor,2026-08-10
241,LeQuint Allen,RB,JAC,0,7,2026-RB-lequint-allen,2026-08-10
2,Bijan Robinson,RB,ATL,56,11,2026-RB-bijan-robinson,2026-08-10
82,Trevor Lawrence,QB,JAC,4,7,2026-QB-trevor-lawrence,2026-08-10
162,Omar Cooper Jr.,WR,NYJ,0,13,2026-WR-omar-cooper-jr,2026-08-10
242,MarShawn Lloyd,RB,GB,0,11,2026-RB-marshawn-lloyd,2026-08-10
3,Puka Nacua,WR,LAR,56,11,2026-WR-puka-nacua,2026-08-10
83,Dak Prescott,QB,DAL,4,14,2026-QB-dak-prescott,2026-08-10
163,Rashod Bateman,WR,BAL,0,13,2026-WR-rashod-bateman,2026-08-10
243,Jaydon Blue,RB,DAL,0,14,2026-RB-jaydon-blue,2026-08-10
4,Ja'Marr Chase,WR,CIN,55,6,2026-WR-jamarr-chase,2026-08-10
84,Bo Nix,QB,DEN,4,10,2026-QB-bo-nix,2026-08-10
164,Jauan Jennings,WR,MIN,0,6,2026-WR-jauan-jennings,2026-08-10
244,George Holani,RB,SEA,0,11,2026-RB-george-holani,2026-08-10
5,Jaxon Smith-Njigba,WR,SEA,54,11,2026-WR-jaxon-smith-njigba,2026-08-10
85,Brock Purdy,QB,SF,4,8,2026-QB-brock-purdy,2026-08-10
165,Tank Dell,WR,HOU,0,8,2026-WR-tank-dell,2026-08-10
245,Ty Johnson,RB,BUF,0,7,2026-RB-ty-johnson,2026-08-10
6,Christian McCaffrey,RB,SF,53,8,2026-RB-christian-mccaffrey,2026-08-10
86,Matthew Stafford,QB,LAR,4,11,2026-QB-matthew-stafford,2026-08-10
166,Tyjae Spears,RB,TEN,0,9,2026-RB-tyjae-spears,2026-08-10
246,Emari Demercado,RB,KC,0,5,2026-RB-emari-demercado,2026-08-10
7,Jonathan Taylor,RB,IND,52,13,2026-RB-jonathan-taylor,2026-08-10
87,Caleb Williams,QB,CHI,3,10,2026-QB-caleb-williams,2026-08-10
167,Braelon Allen,RB,NYJ,0,13,2026-RB-braelon-allen,2026-08-10
247,Isaiah Davis,RB,NYJ,0,13,2026-RB-isaiah-davis,2026-08-10
8,Amon-Ra St. Brown,WR,DET,52,6,2026-WR-amon-ra-st-brown,2026-08-10
88,Jakobi Meyers,WR,JAC,3,7,2026-WR-jakobi-meyers,2026-08-10
168,Keaton Mitchell,RB,LAC,0,7,2026-RB-keaton-mitchell,2026-08-10
248,Emmett Johnson,RB,KC,0,5,2026-RB-emmett-johnson,2026-08-10
9,CeeDee Lamb,WR,DAL,51,14,2026-WR-ceedee-lamb,2026-08-10
89,Wan'Dale Robinson,WR,TEN,3,9,2026-WR-wandale-robinson,2026-08-10
169,Broncos D/ST,DEF,DEN,0,10,2026-DEF-broncos-dst,2026-08-10
